course_id,course_name,category,course_level,price,published_date,instructor_id
1,Machine Learning Masterclass 1,Python,Advanced,4470.02,2024-09-16T00:00:00.000Z,1
2,Data Science Masterclass 2,Web Development,Intermediate,1044.19,2024-08-23T00:00:00.000Z,3
3,Cybersecurity Masterclass 3,Machine Learning,Advanced,2430.65,2024-07-01T00:00:00.000Z,4
4,Python Masterclass 4,Cybersecurity,Intermediate,2943.49,2024-05-18T00:00:00.000Z,12
5,Web Development Masterclass 5,Web Development,Beginner,2262.36,2023-06-03T00:00:00.000Z,9
6,Machine Learning Masterclass 6,AI,Intermediate,1132.51,2024-01-07T00:00:00.000Z,10
7,SQL Masterclass 7,Web Development,Advanced,1001.73,2024-03-19T00:00:00.000Z,3
8,Web Development Masterclass 8,Cybersecurity,Advanced,1290.66,2022-02-03T00:00:00.000Z,7
9,AI Masterclass 9,Python,Intermediate,2031.29,2023-05-16T00:00:00.000Z,1
10,SQL Masterclass 10,Python,Beginner,3530.26,2024-07-26T00:00:00.000Z,15
11,AI Masterclass 11,AI,Intermediate,4483.77,2023-05-28T00:00:00.000Z,10
12,Data Science Masterclass 12,Python,Beginner,4244.14,2023-03-29T00:00:00.000Z,1
13,Machine Learning Masterclass 13,Python,Beginner,1618.36,2023-06-16T00:00:00.000Z,1
14,Cybersecurity Masterclass 14,Python,Intermediate,1402.13,2023-02-15T00:00:00.000Z,15
15,Cybersecurity Masterclass 15,Web Development,Beginner,3343.79,2022-04-28T00:00:00.000Z,9
16,Web Development Masterclass 16,Data Science,Beginner,2467.38,2022-03-16T00:00:00.000Z,2
17,AI Masterclass 17,SQL,Beginner,700.84,2024-01-18T00:00:00.000Z,18
18,Machine Learning Masterclass 18,Web Development,Beginner,2540.82,2024-01-04T00:00:00.000Z,9
19,Python Masterclass 19,Machine Learning,Advanced,4470.81,2024-01-08T00:00:00.000Z,4
20,Machine Learning Masterclass 20,Cybersecurity,Intermediate,3084.29,2023-06-11T00:00:00.000Z,12
21,Deep Learning with PyTorch,Data Science,Advanced,2499,2024-10-01T00:00:00.000Z,13
22,Power BI for Business Insights,Data Analytics,Intermediate,1599,2024-10-05T00:00:00.000Z,14
23,Excel to Dashboard Masterclass,Data Analytics,Beginner,999,2024-10-10T00:00:00.000Z,14
24,ReactJS Frontend Bootcamp,Web Development,Advanced,2299,2024-10-15T00:00:00.000Z,16
25,NodeJS for Beginners,Web Development,Beginner,1499,2024-10-20T00:00:00.000Z,16
26,Advanced Django APIs,Web Development,Advanced,1999,2024-10-25T00:00:00.000Z,15
27,Data Storytelling with Tableau,Data Visualization,Intermediate,1799,2024-10-30T00:00:00.000Z,17
28,AI for Everyone,Artificial Intelligence,Beginner,1299,2024-11-01T00:00:00.000Z,17
29,UI/UX Design Fundamentals,UI/UX Design,Beginner,1599,2024-08-15T00:00:00.000Z,6
30,Figma Masterclass: From Wireframes to Prototype,UI/UX Design,Intermediate,1999,2024-09-10T00:00:00.000Z,6
31,Mastering Data Visualization with Power BI,Data Visualization,Intermediate,1899,2024-10-05T00:00:00.000Z,8
32,Advanced Tableau Projects for Business Insights,Data Visualization,Advanced,2199,2024-11-12T00:00:00.000Z,8
