enrollment_id,student_id,course_id,enrollment_date,progress_percent,completion_status,rating
1,117,5,2022-02-08T00:00:00.000Z,100,Completed,
2,147,20,2024-01-03T00:00:00.000Z,44.88,In Progress,4.4
3,211,4,2022-10-15T00:00:00.000Z,52.4,In Progress,
4,128,12,2023-04-04T00:00:00.000Z,22.12,In Progress,
5,112,1,2024-01-23T00:00:00.000Z,100,Completed,2.1
6,289,1,2023-08-13T00:00:00.000Z,6.45,In Progress,
7,295,4,2024-08-13T00:00:00.000Z,100,Completed,
8,235,6,2022-11-19T00:00:00.000Z,54.25,In Progress,
9,19,13,2022-12-11T00:00:00.000Z,47.65,In Progress,
10,66,1,2024-11-13T00:00:00.000Z,55.28,In Progress,
11,43,7,2023-02-25T00:00:00.000Z,11.91,In Progress,
12,237,17,2023-05-25T00:00:00.000Z,40.52,In Progress,
13,127,9,2023-03-23T00:00:00.000Z,14.23,In Progress,
14,159,9,2022-02-28T00:00:00.000Z,8.94,In Progress,
15,228,12,2024-03-06T00:00:00.000Z,22.22,In Progress,4.9
16,1,4,2024-07-16T00:00:00.000Z,45.04,In Progress,1.2
17,240,9,2023-02-23T00:00:00.000Z,100,Completed,
18,36,5,2024-02-20T00:00:00.000Z,12.34,In Progress,
19,12,16,2024-02-09T00:00:00.000Z,8.34,In Progress,4.2
20,51,19,2024-05-31T00:00:00.000Z,100,Completed,
21,46,1,2023-10-30T00:00:00.000Z,7.49,In Progress,4.2
22,210,12,2024-12-27T00:00:00.000Z,15.46,In Progress,
23,200,9,2024-07-05T00:00:00.000Z,40.86,In Progress,
24,208,7,2023-09-23T00:00:00.000Z,100,Completed,4.8
25,270,7,2024-05-23T00:00:00.000Z,100,Completed,1.5
26,279,12,2023-03-02T00:00:00.000Z,100,Completed,
27,271,16,2024-11-16T00:00:00.000Z,100,Completed,
28,117,10,2022-01-21T00:00:00.000Z,43.76,In Progress,
29,259,11,2022-04-11T00:00:00.000Z,33.41,In Progress,4.6
30,155,6,2022-07-12T00:00:00.000Z,7.56,In Progress,
31,229,8,2022-05-16T00:00:00.000Z,100,Completed,4
32,3,16,2022-09-06T00:00:00.000Z,54.48,In Progress,
